,Verse,Transcription
10,1Esd1:11,"καὶ ὤπτησαν τὸ πάσχα ἐν πυρὶ ὡς καθήκει, καὶ τὰς θυσίας ἥψησαν ἐν τοῖς χαλκίοις καὶ λέβησιν μετ’ εὐωδίας, καὶ ἀπήνεγκαν πᾶσι τοῖς ἐκ τοῦ λαοῦ."
11,1Esd1:12,μετὰ δὲ ταῦτα ἡτοίμασαν ἑαυτοῖς τε καὶ τοῖς ἱερεῦσιν ἀδελφοῖς αὐτῶν υἱοῖς Ἀαρών.
12,1Esd1:13,οἱ γὰρ ἱερεῖς ἀνέφερον τὰ στέατα ἕως ἀωρίας· καὶ οἱ Λευεῖται ἡτοίμασαν ἑαυτοῖς καὶ τοῖς ἱερεῦσιν ἀδελφοῖς αὐτῶν υἱοῖς Ἀαρών.
13,1Esd1:14,"καὶ οἱ ἱεροψάλται υἱοὶ Ἀσὰφ ἦσαν ἐπὶ τῆς τάξεως αὐτῶν κατὰ τὰ ὑπὸ Δαυεὶδ τεταγμένα, καὶ Ἀσὰφ καὶ Ζαχαρίας καὶ Ἐδδεινοῦς οἱ παρὰ τοῦ βασιλέως."
14,1Esd1:15,καὶ οἱ θυρωροὶ ἐφ’ ἑκάστου πυλῶνος· οὐκ ἔστιν παραβῆναι ἕκαστον τὴν ἑαυτοῦ ἐφημερίαν· οἱ γὰρ ἀδελφοὶ αὐτῶν οἱ Λευεῖται ἡτοίμασαν ἑαυτοῖς.
15,1Esd1:16,"καὶ συνετελέσθη τὰ τῆς θυσίας τοῦ κυρίου ἐν ἐκείνῃ τῇ ἡμέρᾳ, ἀχθῆναι τὸ πάσχα καὶ προσαχθῆναι τὰς θυσίας ἐπὶ τὸ τοῦ κυρίου θυσιαστήριον κατὰ τὴν ἐπιταγὴν τοῦ βασιγέως Ἰωσείου."
16,1Esd1:17,καὶ ἠγάγοσαν οἱ υἱοὶ Ἰσραὴλ οἱ εὑρεθέντες ἐν τῷ καιρῷ τούτῳ τὸ πάσχα καὶ τὴν ἑορτὴν τῶν ἀζύμων ἡμέρας ἑπτά.
17,1Esd1:18,καὶ οὐκ ἤχθη τὸ πάσχα τοιοῦτο ἐν τῷ Ἰσραὴλ ἀπὸ τῶν χρόνων Σαμουὴλ τοῦ προφήτου·
18,1Esd1:19,καὶ πάντες οἱ βασιλεῖς τοῦ Ἰσραὴλ οὐκ ἠγάγοσαν πάσχα τοιοῦτον οἷον ἤγαγεν Ἰωσείας καὶ οἱ ἱερεῖς καὶ οἱ Λευεῖται καὶ οἱ Ἰουδαῖοι καὶ πᾶς Ἰσραὴλ ὁ εὑρεθεὶς ἐν τῇ κατοικήσει αὐτῶν ἐν Ἰερουσαλήμ.
19,1Esd1:20,ὀκτωκαιδεκάτῳ ἔτει βασιλεύοντος Ἰωσείου ἤχθη τὸ πάσχα τοῦτο.
20,1Esd1:21,καὶ ὠρθώθη τὰ ἔργα Ἰωσείου ἐνώπιον τοῦ κυρίου αὐτοῦ ἐν καρδίᾳ πλήρει εὐσεβείας.
21,1Esd1:22,"καὶ τὰ κατ’ αὐτὸν δὲ ἀναγέγραπται ἐν τοῖς ἔμπροσθεν χρόνοις, περὶ τῶν ἡμαρτηκότων καὶ ἠσεβηκότων εἰς τὸν κύριον παρὰ πᾶν ἔθνος καὶ βασιλείαν, καὶ ἃ ἐλύπησαν αὐτὸν ἔοτιν· καὶ οἱ λόγοι τοῦ κυρίου ἀνέστησαν ἐπὶ Ἰσραήλ."
22,1Esd1:23,Καὶ μετὰ πᾶσαν τὴν πρᾶξιν ταύτην Ἰωσείου συνέβη φαραὼ βασιλέα Αἰγύπτου ἐλθόντα πόλεμον ἐγεῖραι ἐν Χαρκαμὺς ἐπὶ τοῦ Εὐφράτου· καὶ ἐξῆλθεν εἰς ἀπάντησιν αὐτῷ Ἰωσείας.
23,1Esd1:24,"καὶ διεπέμψατο βασιλεὺς Αἰγύπτου πρὸς αὐτὸν λέγων Τί ἐμοὶ καὶ σοί ἐστιν, βασιλεῦ τῆς Ἰουδαίας;"
24,1Esd1:25,"οὐχί πρὸς σὲ ἐξαπέσταλμαι ὑπὸ Κυρίου τοῦ θεοῦ, ἐπὶ γὰρ τοῦ Εὐφράτου ὁ πόλεμός μού ἐστιν· καὶ νῦν Κύριος μετ’ ἑμοῦ ἐμοῦ ἐστιν, καὶ Κύριος μετ’ ἐπισπεύδων ἐστίν· ἀπόστηθι, καὶ μὴ ἐναντιοῦ τῷ κυρίῳ."
25,1Esd1:26,"καὶ οὐκ ἀπέστρεψεν ἑαυτὸν Ἰωσείας ἐπὶ τὸ ἅρμα αὐτοῦ, ἀλλὰ πολεμεῖν αὐτὸν ἐπιχειρεῖ, οὐ προσέχων ῥήμασιν Ἰερεμίου προφήτου ἐκ στόματος Κυρίου·"
26,1Esd1:27,ἀλλὰ συνεστήσατο πρὸς αὐτὸν πόλεμον ἐν τῷ πεδίῳ Μετααδδοῦς· καὶ κατέβησαν οἱ ἄρχοντες πρὸς βασιλέα Ἰωσείαν.
27,1Esd1:28,"καὶ εἶπεν ὁ βασιλεὺς τοῖς παισὶν αὐτοῦ Ἀποστήσατέ με ἀπὸ τῆς μάχης, ἠσθένησα γὰρ λίαν. καὶ εὐθέως ἀπέστησαν αὐτὸν οἱ παῖδες αὐτοῦ ἀπὸ τῆς παρατάξεως,"
28,1Esd1:29,"καὶ ἀνέβη ἐπὶ τὸ ἅρμα τὸ δευτέριον αὐτοῦ· καὶ ἀποκατασταθεὶς εἰς Ἰερουσαλὴμ μετήλλαξεν τὸν βίον αὐτοῦ, καὶ ἐτάφη ἐν τῷ πατρικῷ τάφῳ."
29,1Esd1:30,"καὶ ἐν ὅλῃ τῇ Ἰουδαίᾳ ἐπένθησαν τὸν Ἰωσείαν· καὶ ἐθρήνησεν Ἰερεμίας ὁ προφήτης ὑπὲρ Ἰωσείου, καὶ οἱ προκαθήμενοι σὺν γυναιξὶν ἐθρηνοῦσαν αὐτὸν ἕως τῆς ἡμέρας ταύτης· καὶ ἐξεδόθη τοῦτο γενέσθαι αἰεὶ εἰς πᾶν τὸ γένος Ἰσραήλ."
30,1Esd1:31,"ταῦτα δὲ ἀναγέγραπται ἐν τῇ βύβλῳ τῶν ἱστορουμένων περὶ τῶν βασιλέων τῆς Ἰουδαίας, καὶ τὸ καθ’ ἓν πραχθὲν τῆς πράξεως Ἰωσείου καὶ τῆς δόξης αὐτοῦ καὶ τῆς συνέσεως αὐτοῦ ἐν τῷ νόμῳ Κυρίου· τά τε πραχθέντα ὑπ’ αὐτοῦ καὶ τὰ νῦν ἱστόρηται ἐν τῷ βυβλίῳ τῶν βασιλέων Ἰσραὴλ καὶ Ἰούδα."
31,1Esd1:32,"Καὶ ἀναλαβόντες οἱ ἐκ τοῦ ἔθνους τὸν Ἰεχονίαν υἱὸν Ἰωσείου ἀνέδειξαν βασιλέα ἀντὶ Ἰωσείου τοῦ πατρὸς αὐτοῦ, ὄντα ἐτῶν εἴκοσι τριῶν."
32,1Esd1:33,"καὶ ἐβασίλευσεν ἐν Ἰσραὴλ καὶ Ἰερουσαλὴμ μῆνας τρεῖς· καὶ ἀπεκατέστησεν αὐτὸν βασιλεὺς Αἱγύπτου βασιλεύειν ἐν Ἰερουσαλήμ,"
33,1Esd1:34,καὶ ἐζημίωσεν τὸ ἔθνος ἀργυρίου ταλάντοις ἑκατὸν καὶ χρυσίου ταλάντῳ ἑνί.
34,1Esd1:35,καὶ ἀνέδειξεν ὁ βασιλεὺς Αἰγύπτου βασιλέα Ἰωακεὶμ τὸν ἀδελφόν αὐτοῦ βασιλέα τῆς Ἰουδαίας καὶ Ἰερουσαλήμ.
35,1Esd1:36,"καὶ ἔδησεν Ἰωακεὶμ τοὺς μεγιστᾶνας, Ζάριον δὲ τὸν ἀδελφὸν αὐτοῦ συλλαβὼν ἀνήγαγεν ἐξ Αἰγύπτου."
36,1Esd1:37,"Ἐτῶν δὲ ἦν εἴκοσι πέντε Ἰωακεὶμ ὅτε ἐβασίλευσεν τῆς Ἰουδαίας καὶ Ἰερουσαλήμ, καὶ ἐποίησεν τὸ πονηρὸν ἐνώπιον Κυρίου."
37,1Esd1:38,"μετ’ αὐτὸν δὲ ἀνέβη Ναβουχοδονοσὸρ βασιλεὺς Βαβυλῶνος, καὶ ἔδησεν αὐτὸν ἐν χαλκείῳ δεσμῷ καὶ ἀπήγαγεν εἰς Βαβυλῶνα."
38,1Esd1:39,καὶ ἀπὸ τῶν ἱερῶν σκευῶν τοῦ κυρίου λαβὼν Ναβουχοδονοσὸρ καὶ ἀπενέγκας ἀπηρείσατο ἐν τῷ ναῷ αὐτοῦ ἐν Βαβυλῶνι.
39,1Esd1:40,τὰ δὲ ἱστορηθέντα περὶ αὐτοῦ καὶ τῆς αὐτοῦ ἀκαθαρσίας καὶ δυσσεβείας ἀναγέγραπται ἐν τῇ βίβλῳ τῶν χρόνων τῶν βασιλέων.
40,1Esd1:41,"Καὶ ἐβασίλευσεν ἀντ’ αὐτοῦ Ἰωακεὶμ ὁ υἱὸς αὐτοῦ. ὅτε γὰρ ἀνεδείχθη, ἦν ἐτῶν ὀκτώ."
41,1Esd1:42,"βασιλεύει δὲ μῆνας τρεῖς καὶ ἡμέρας δέκα ἐν Ἰερουσαλήμ, καὶ ἐποίησεν τὸ πονηρὸν ἔναντι Κυρίου."
42,1Esd1:43,"Καὶ μετ’ ἐνιαυτὸν ἀποστείλας Ναβουχοδονοσὸρ μετήγαγεν αὐτὸν εἰς Βαβυλῶνα ἅμα τοῖς ἱεροῖς σκεύεσιν τοῦ κυρίου,"
43,1Esd1:44,"καὶ ἀνέδειξε Σεδεκίαν βασιλέα τῆς Ἰουδαίας καὶ Ἰερουσαλήμ, Σεδεκίαν ὄντα ἐτῶν εἴκοσι ἑνός· βασιλεύει δὲ ἔτη ἕνδεκα."
44,1Esd1:45,"καὶ ἐποίησεν τὸ πονηρὸν ἐνώπιον Κυρίου, καί οὐκ ἐνετράπη ἀπὸ τῶν ῥηθέντων λόγων ὑπὸ Ἰερεμίου τοῦ προφήτου ἐκ στόματος τοῦ κυρίου."
45,1Esd1:46,"καὶ ὁρκισθεὶς ἀπὸ τοῦ βασιλέως Ναβουχοδονοσὸρ τῷ ὀνόματι τοῦ κυρίου, ἐφιορκήσας ἀπέστη, καὶ σκληρύνας αὐτοῦ τὸν τράχηλον καὶ τὴν καρδίαν αὐτοῦ παρέβη τὰ νόμιμα Κυρίου θεοῦ Ἰσραήλ."
46,1Esd1:47,"καὶ οἱ ἡγούμενοι δὲ τοῦ λαοῦ καὶ τῶν ἱερέων πολλὰ ἠσέβησαν καὶ ἠνόμησαν ὑπὲρ πάσας τὰς ἀκαθαρσίας πάντων τῶν ἐθνῶν, καὶ ἐμίαναν τὸ ἱερὸν τοῦ κυρίου τὸ ἁγιαζόμενον ἐν Ἰερουσαλήμ."
47,1Esd1:48,"καὶ ἀπέστειλεν ὁ βασιλεὺς τῶν πατέρων αὐτῶν διὰ τοῦ ἀγγέλου αὐτοῦ μετακαλέσαι αὐτούς, καθὸ ἐφείδετο αὐτῶν καὶ τοῦ σκηνώματος αὐτοῦ."
48,1Esd1:49,"αὐτοὶ δὲ ἐμυκτήρισαν ἐν τοῖς ἀγγέλοις αὐτοῦ, καὶ ᾗ ἡμέρᾳ ἐλάλησεν Κύριος, ἦσαν ἐκπαίζοντες τοὺς προφήτας αὐτοῦ· ἕως οὗ θυμῶντα αὐτὸν ἐπὶ τῷ ἔθνει αὐτοῦ διὰ τὰ δυσσεβήματα προστάξαι ἀναβιβάσαι ἐπ’ αὐτοὺς τοὺς βασιλεῖς τῶν Χαλδαίων."
49,1Esd1:50,"οὗτοι ἀπέκτειναν τοὺς νεανίσκους αὐτῶν ἐν ῥομφαίᾳ περικύκλῳ τοῦ ἁγίου ἱεροῦ, καὶ οὐκ ἐφείσαντο νεανίσκου καὶ παρθένου καὶ πρεσβύτου καὶ νεωτέρου, ἀλλὰ πάντας παρέδωκαν εἰς τὰς χεῖρας αὐτῶν."
50,1Esd1:51,"καὶ πάντα τὰ ἱερὰ σκεύη τοῦ κυρίου, τὰ μεγάλα καὶ τὰ μικρά, καὶ τὰς κιβωτοὺς τοῦ κυρίου καὶ τὰς βασιλικὰς ἀποθήκας ἀναλαβόντες ἀπήνεγκαν εἰς Βαβυλῶνα."
51,1Esd1:52,"καὶ ἐνεπύρισαν τὸν οἶκον τοῦ κυρίου, καὶ ἔλυσαν τὰ τείχη Ἰερουσαλήμ, καὶ τοὺς πύργους αὐτῆς ἐνεπύρισαν ἐν πυρί,"
52,1Esd1:53,καὶ συνετέλεσαν πάντα τὰ ἔνδοξα αὐτῆς ἀχρεῶσαι· καὶ τοὺς ἐπιλοίπους ἀπήγαγεν μετὰ ῥομφαίας εἰς Βαβυλῶνα.
53,1Esd1:54,"καὶ ἦσαν παῖδες αὐτῷ καὶ τοῖς υἱοῖς αὐτοῦ μέχρι οὗ βασιλεῦσαι Πέρσας, εἰς ἀναπλήρωσιν τοῦ ῥήματος τοῦ κυρίου ἐν στόματι Ἰερεμίου"
54,1Esd1:55,"Ἕως τοῦ εὐδοκῆσαι τήν γῆν τὰ σάββατα αὐτῆς, πάντα τὸν χρόνον τῆς ἐρημώσεως αὐτῆς σαββατιεῖ εἰς συνπλήρωσιν ἐτῶν ἑβδομήκοντα."
55,1Esd2:1,"Βασιλεύοντος Κύρου Περσῶν ἔτους πρώτου, εἰς συντέλειαν ῥήματος Κυρίου ἐν στόματι Ἰερεμίου,"
56,1Esd2:2,"ἤγειρεν Κύριος τὸ πνεῦμα Κύρου βασιλέως Περσῶν, καὶ ἐκήωυξεν ὅλῇ τῃ βασιλείᾳ αὐτοῦ καὶ ἅμα διὰ γραπτῶν λέγων"
57,1Esd2:3,"Τάδε λέγει ὁ βασιλεὺς Περσῶν Κῦρος Ἐμὲ ἀνέδειξεν βασιλέα τῆς οἰκουμένης ὁ κύριος τοῦ Ἰσραήλ, Κύριος ὁ ὕψιστος,"
58,1Esd2:4,καὶ ἐσήμηνέν μοι οἰκοδομῆσαι αὐτῷ οἶκον ἐν Ἰερουσαλὴμ τῇ ἐν τῇ Ἰουδαίᾳ.
59,1Esd2:5,"εἴ τίς ἐστιν οὖν ὑμῶν ἐκ τοῦ ἔθνους αὐτοῦ, ἔστω ὁ κύριος αὐτοῦ μετ’ αὐτοῦ, καὶ ἀναβὰς εἰς τὴν Ἰερουσαλὴμ τὴν ἐν τῇ Ἰουδαίᾳ οἰκοδομείτω τὸν οἶκον τοῦ κυρίου τοῦ Ἰσραήλ. οὗτος ὁ κύριος ὁ κατασκηνώσας ἐν Ἰερουσαλήμ."
60,1Esd2:6,"ὅσοι οὖν κατὰ τοὺς τόπους οἰκοῦσιν, βοηθείτωσαν αὐτῷ οἱ ἐν τῷ τόπῳ αὐτοῦ ἐν χρυσίῳ καὶ ἐν ἀργυρίῳ καὶ ἐν δόσεσιν, μεθ’ ἵππων καὶ κτηνῶν, σὺν τοῖς ἄλλοις τοῖς κατ’ εὐχὰς προστεθειμένοις εἰς τὸ ἱερὸν τοῦ κυρίου τὸ ἐν Ἰερουσαλήμ."
61,1Esd2:7,"Καὶ καταστήσαντες οἱ ἀρχίφυλοι τῶν πατριῶν τῆς Ἰούδα καὶ Βενιαμεὶν φυλῆς, καὶ οἱ ἱερεῖς καὶ οἱ Λευεῖται, καὶ πάντων ὧν ἤγειρεν Κύριος τό πνεῦμα ἀναβῆναι οἰκοδομῆσαι οἶκον τῷ κυρίῳ τὸν ἐν Ἰερουσαλήμ·"
62,1Esd2:8,"καὶ οἱ περικύκλῳ αὐτῶν ἐβοήθησαν ἐν πᾶσιν, ἐν ἀργυριῳ καὶ χρυσίῳ, ἵπποις, κτήνεσιν καὶ εὐχαῖς ὡς πλείσταις πολλῶν ὧν ὁ νοῦς ἠγέρθη."
63,1Esd2:9,"καὶ ὁ βασιλεὺς Κῦρος ἐξήνεγκεν τὰ ἅγια σκεύη τοῦ κυρὶου, ἃ μετήγαγεν Ναβουχοδονοσὸρ ἐξ Ἰερουσαγὴμ καὶ ἀπηρείσατο αὐτὰ ἐν τῷ εἰδωλίῳ αὐτοῦ."
64,1Esd2:10,ἐξενέγκας δὲ αὐτὰ Κῦρος ὁ βασιλεὺς Περσῶν παρέδωκεν αὐτὰ Μιθριδάτῃ τῷ ἑαυτοῦ γαζοφύλακι·
65,1Esd2:11,διὰ δὲ τούτου παρεδόθησαν Σανασσάρῳ προστάτῃ τῆς Ἰουδαίας.
66,1Esd2:12,"ὁ δὲ τούτων ἀριθμὸς ἦν, σπονδεῖα χρυσᾶ χίλια, σπονδεῖα ἀργυρᾶ χίλια, θυίσκαι ἀργυραῖ εἴκοσι ἐννέα, φιάλαι χρυσαῖ τριάκοντα, ἀργυραῖ βυ’ δέκα, καὶ ἄλλα σκεύη χίλια."
67,1Esd2:13,"τὰ δὲ πάντα σκεύη ἐκομίσθη, χρυσᾶ καὶ ἀργυρᾶ, πεντακισχίλια τετρακόσια ἑξήκοντα ἐννέα·"
68,1Esd2:14,ἀνηνέχθη δὲ ὑπὸ Σαμανασσάρον ἅμα τοῖς ἐκ τῆς αἰχμαλωσίας ἐκ Βαβυλῶνος εἰς Ἰερουσαλήμ.
69,1Esd2:15,"Ἐν δὲ τοῖς ἐπὶ Ἀρταξέρξου τοῦ Περσῶν βασιλέως χρόνοις κατέγραψεν αὐτῶν κατὰ τῶν κατοικούντων ἐν τῇ Ἰουδαίᾳ καὶ Ἰερουσαλὴμ Βήλεμος καὶ Μιθραδάτης καὶ Ταβέλλιος καὶ Ῥάθυμος καὶ Βεέλτεθμος καὶ Σαμέλλιος ὁ γραμματεὺς καὶ οἱ λοιποὶ οἱ τούτοις συντασσόμενοι, οἰκοῦντες δὲ ἐν Σαμαρείᾳ καὶ τοῖς ἄλλοις τόποις, τὴν ὑπογεγραμμένην ἐπιστολήν"
70,1Esd2:16,Βασιλεῖ Ἀρταξέρξῃ κυρίῳ οἱ παῖδές σου Ῥάθυμος ὁ τὰ προσπίπτοντα καὶ Σαμέλλιος ὁ γραμματεὺς καὶ οἱ ἐπίλοιποι τῆς βουλῆς αὐτῶν καὶ οἱ ἐν κοίλῃ Συρίᾳ καὶ Φοινίκῃ.
71,1Esd2:17,"καὶ νῦν γνωστὸν ἔστω τῷ κυρίῳ βασιλεῖ ὅτι Ἰουδαῖοι ἀναβάντες παρ’ ὑμῶν πρὸς ἡμᾶς, ἐλθόντες εἰς Ἰερουσαλήμ, τὴν πόλιν τήν ἀποστάτιν καὶ πονηρὰν οἰκοῦσιν, τάς τε ἀγορὰς αὐτῆς καὶ τὰ τείχη θεραπεύουσιν καὶ ναὸν ὑποβάλλονται."
72,1Esd2:18,"ἐὰν οὖν ἡ πόλις αὕτη οἰκοδομηθῇ καὶ τὰ τείχη συντελεσθῇ, φορολογίαν οὐ μὴ ὑπομείνωσιν δοῦναι, ἀλλὰ καὶ βασιλεῦσιν ἀντιστήσονται· καὶ ἐπεὶ ἐνεργεῖται τὰ κατὰ τὸν ναόν, καλῶς ἔχειν ὑπολαμβάνομεν μὴ ὑπεριδεῖν τὸ τοιοῦτο ἀλλὰ προσφωνῆσαι τῷ κυρίῳ βασιλεῖ ὅπως, ἂν φαίνηταί σοι, ἐπισκεφθῇ ἐν τοῖς ἀπὸ τῶν πατέρων σου βιβλίοις."
73,1Esd2:19,"καὶ εὑρήσεις ἐν τοῖς ὑπομνηματισμοῖς τὰ γεγραμμένα περὶ τούτων, καὶ γνώσῃ ὅτι ἡ πόλις ἦν ἐκείνη ἀποστάτις καὶ βασιλεῖς καὶ πόλεις ἐνοχλοῦσα, καὶ οἱ Ἰουδαῖοι ἀποστάται καὶ πολιορκίας συνεσταμένοι ἐν αὐτῇ ἔτι ἐξ αἰῶνος, δι’ ἣν αἰτίαν ἡ πόλις αὕτη ἠρημώθη."
74,1Esd2:20,"νῦν οὖν ὑποδεικνύομέν σοι, κύριε βασιλεῦ, ὅτι ἐὰν ἡ πόλις αὕτη οἰκοδομηθῇ καὶ τὰ ταύτης τείχη ἀνασταθῇ, ἔξοδός σοι οὐκέτι ἔσται εἰς κοίλην Συρίαν καὶ Φοινίκην."
75,1Esd2:21,τότε ἀντέγραψεν ὁ βασιλεὺς Ῥαθύμῳ τῷ γράφοντι τὰ προσπίπτοντα καὶ Βεελτέθμῳ καὶ Σαμελλίῳ γραμματεῖ καὶ τοῖς λοιποῖς τοῖς συντασσομένοις καὶ οἰκοῦσιν ἐν Σαμαρείᾳ καὶ Συρίᾳ καὶ Φοινίκῃ τὰ ὑπογεγραμμένα
76,1Esd2:22,"Ἀνέγνων τὴν ἐπιστολὴν ἣν πεπόμφατε πρὸς μέ. ἐπέταξα οὖν ἐπισκέψασθαι· καὶ εὑρέθη ὅτι ἐστὶν ἡ πόλις ἐκείνη ἐξ αἰῶνος βασιλεῦσιν ἀντιπαρατάσσουσα,"
77,1Esd2:23,"καὶ οἱ ἄνθρωποι ἀποστάσεις καὶ πολέμους ἐν αὐτῇ συντελοῦντες, καὶ βασιλεῖς ἰσχυροὶ καὶ σκληροὶ ἦσαν ἐν Ἰερουσαλὴμ κυριεύοντες καὶ φορολοῦντες κοίλην Συρίαν καὶ Φοινίκην."
78,1Esd2:24,"νῦν οὖν ἐπέταξα ἀποκωλῦσαι τοὺς ἀνθρώπους ἐκείνους τοῦ οἰκοδομῆσαι τὴν πόλιν, καὶ προνοηθῆναι ὅπως μηθὲν παρὰ ταῦτα γένηται καὶ μὴ προβῇ ἐπὶ πλεῖον τὰ τῆς κακίας εἰς τὸ βασιλεῖς ἐνοχλῆσαι."
79,1Esd2:25,"τότε ἀναγνωσθέντων τῶν παρὰ τοῦ βασιλέως Ἀρταξέρξου γραφέντων ὁ Ῥάθυμος καὶ Σαμέλλιος ὁ γραμματεὺς καὶ οἱ τούτοις συντασσόμενοι, ἀναζεύξαντες κατὰ σπουδὴν εἰς Ἰερουσαλὴμ μεθ’ ἵππου καὶ ὄχλου παρατάξεως, ἤρξαντο κωλύειν τοὺς οἰκοδομοῦντας· καὶ ἤργει ἡ οἰκοδομὴ τοῦ ἱεροῦ τοῦ ἐν Ἰερουσαλὴμ μέχρι τοῦ δευτέρου ἔτους τῆς βασιλείας Δαρείου τοῦ Περσῶν βασιλέως."
80,1Esd3:1,"Καὶ βασιλεὺς Δαρεῖος ἐποίησεν δοχὴν μεγάλην πᾶσιν τοῖς ὑπ’ αὐτόν, καὶ πᾶσιν τοῖς οἰκογενέσιν αὐτοῦ, καὶ πᾶσιν τοῖς μεγιστᾶσιν τῆς Μηδείας καὶ τῆς Περσίδος,"
81,1Esd3:2,καὶ πᾶσιν τοῖς σατράπαις καὶ στρατηγοῖς καὶ τοπάρχαις τοῖς ὑπ’ αὐτὸν ἀπὸ τῆς Ἰνδικῆς μέχρι Αἰθιοπίας ἐν ταῖς ἑκατὸν εἴκοσι ἑπτὰ σατραπείαις.
82,1Esd3:3,"καὶ ἐφάγοσαν καὶ ἐπίοσαν, καὶ ἐμπλησθέντες ἀνέλυσαν· ὁ δὲ Δαρεῖος ὁ βασιλεὺς ἀνέλυσεν εἰς τὸν κοιτῶνα καὶ ἐκοιμήθη, καὶ ἔξυπνος ἐγένετο."
83,1Esd3:4,"τότε οἱ τρεῖς νεανίσκοι οἱ σωματοφύλακες, οἱ φυλάσσοντες τὸ σῶμα τοῦ βασιλέως, εἶπαν ἕτερος πρὸς τὸν ἕτερον"
84,1Esd3:5,"Εἴπωμεν ἕκαστος ἡμῶν ἕνα λόγον ὃς ὑπερισχύσει· καὶ οὗ ἂν φανῇ τὸ ῥῆμα αὐτοῦ σοφώτερον τοῦ ἑτέρου, δώσει αὐτῷ Δαρεῖος ὁ βασιλεὺς δωρεὰς μεγάλας καὶ ἐπινίκια μεγάλα,"
85,1Esd3:6,"καὶ πορφύραν περιβαλέσθαι καὶ ἐν χρυσώμασιν πίνειν καὶ ἐπὶ χρυσῷ καθεύδειν καὶ ἅρμα χρυσοχάλινον καὶ κίδαριν βυσσίνην καὶ μανιάκην περὶ τὸν τράχηλον,"
86,1Esd3:7,"καὶ δεύτερος καθιεῖται Δαρείου διὰ τὴν σοφίαν αὐτοῦ, καὶ συγγενὴς Δαρείου κληθήσεται."
