Verse,Transcription
Mat 2:1,ولما ولد يسوع في بيت لحم اليهودية في ايام هيرودس الملك اذا مجوس من المشرق قد جاءوا الى اورشليم
Mat 2:2,قائلين اين هو المولود ملك اليهود. فاننا رأينا نجمه في المشرق واتينا لنسجد له.
Mat 2:3,فلما سمع هيرودس الملك اضطرب وجميع اورشليم معه.
Mat 2:4,فجمع كل رؤساء الكهنة وكتبة الشعب وسألهم اين يولد المسيح.
Mat 2:5,فقالوا له في بيت لحم اليهودية. لانه هكذا مكتوب بالنبي.
Mat 2:6,وانت يا بيت لحم ارض يهوذا لست الصغرى بين رؤساء يهوذا . لان منك يخرج مدبر يرعى شعبي اسرائيل
Mat 2:7,حينئذ دعا هيرودس المجوس سرّا وتحقق منهم زمان النجم الذي ظهر.
Mat 2:8,ثم ارسلهم الى بيت لحم وقال اذهبوا وافحصوا بالتدقيق عن الصبي. ومتى وجدتموه فاخبروني لكي آتي انا ايضا واسجد له.
Mat 2:9,فلما سمعوا من الملك ذهبوا واذا النجم الذي رأوه في المشرق يتقدمهم حتى جاء ووقف فوق حيث كان الصبي.
Mat 2:10,فلما رأوا النجم فرحوا فرحا عظيما جدا.
Mat 2:11,وأتوا الى البيت ورأوا الصبي مع مريم امه. فخروا وسجدوا له. ثم فتحوا كنوزهم وقدموا له هدايا ذهبا ولبانا ومرّا.
Mat 2:12,ثم اذ أوحي اليهم في حلم ان لا يرجعوا الى هيرودس انصرفوا في طريق اخرى الى كورتهم
Mat 2:13,وبعدما انصرفوا اذا ملاك الرب قد ظهر ليوسف في حلم قائلا قم وخذ الصبي وامه واهرب الى مصر وكن هناك حتى اقول لك. لان هيرودس مزمع ان يطلب الصبي ليهلكه.
Mat 2:14,فقام واخذ الصبي وامه ليلا وانصرف الى مصر.
Mat 2:15,وكان هناك الى وفاة هيرودس. لكي يتم ما قيل من الرب بالنبي القائل من مصر دعوت ابني
Mat 2:16,حينئذ لما رأى هيرودس ان المجوس سخروا به غضب جدا. فارسل وقتل جميع الصبيان الذين في بيت لحم وفي كل تخومها من ابن سنتين فما دون بحسب الزمان الذي تحققه من المجوس.
Mat 2:17,حينئذ تم ما قيل بارميا النبي القائل.
Mat 2:18,صوت سمع في الرامة نوح وبكاء وعويل كثير. راحيل تبكي على اولادها ولا تريد ان تتعزى لانهم ليسوا بموجودين
Mat 2:19,فلما مات هيرودس اذا ملاك الرب قد ظهر في حلم ليوسف في مصر
Mat 2:20,قائلا. قم وخذ الصبي وامه واذهب الى ارض اسرائيل. لانه قد مات الذين كانوا يطلبون نفس الصبي.
Mat 2:21,فقام واخذ الصبي وامه وجاء الى ارض اسرائيل.
Mat 2:22,ولكن لما سمع ان ارخيلاوس يملك على اليهودية عوضا عن هيرودس ابيه خاف ان يذهب الى هناك. واذ أوحي اليه في حلم انصرف الى نواحي الجليل.
Mat 2:23,وأتى وسكن في مدينة يقال لها ناصرة. لكي يتم ما قيل بالانبياء انه سيدعى ناصريا
Mat 3:1,وفي تلك الايام جاء يوحنا المعمدان يكرز في برية اليهودية.
Mat 3:2,قائلا توبوا لانه قد اقترب ملكوت السموات.
Mat 3:3,فان هذا هو الذي قيل عنه باشعياء النبي القائل صوت صارخ في البرية اعدوا طريق الرب. اصنعوا سبله مستقيمة.
Mat 3:4,ويوحنا هذا كان لباسه من وبر الابل وعلى حقويه منطقة من جلد. وكان طعامه جرادا وعسلا بريا.
Mat 3:5,حينئذ خرج اليه اورشليم وكل اليهودية وجميع الكورة المحيطة بالاردن.
Mat 3:6,واعتمدوا منه في الاردن معترفين بخطاياهم
Mat 3:7,فلما رأى كثيرين من الفريسيين والصدوقيين ياتون الى معموديته قال لهم يا اولاد الافاعي من اراكم ان تهربوا من الغضب الآتي.
Mat 3:8,فاصنعوا اثمارا تليق بالتوبة.
Mat 3:9,ولا تفتكروا ان تقولوا في انفسكم لنا ابراهيم ابا. لاني اقول لكم ان الله قادر ان يقيم من هذه الحجارة اولادا لابراهيم.
Mat 3:10,والآن قد وضعت الفاس على اصل الشجر. فكل شجرة لا تصنع ثمرا جيدا تقطع وتلقى في النار.
Mat 3:11,انا اعمدكم بماء للتوبة. ولكن الذي يأتي بعدي هو اقوى مني الذي لست اهلا ان احمل حذاءه. هو سيعمدكم بالروح القدس ونار.
Mat 3:12,الذي رفشه في يده وسينقي بيدره ويجمع قمحه الى المخزن. واما التبن فيحرقه بنار لا تطفأ
Mat 3:13,حينئذ جاء يسوع من الجليل الى الاردن الى يوحنا ليعتمد منه.
Mat 3:14,ولكن يوحنا منعه قائلا انا محتاج ان اعتمد منك وانت تأتي اليّ.
Mat 3:15,فاجاب يسوع وقال له اسمح الآن. لانه هكذا يليق بنا ان نكمل كل بر. حينئذ سمح له.
Mat 3:16,فلما اعتمد يسوع صعد للوقت من الماء. واذا السموات قد انفتحت له فرأى روح الله نازلا مثل حمامة وآتيا عليه.
Mat 3:17,وصوت من السموات قائلا هذا هو ابني الحبيب الذي به سررت
Mat 4:1,ثم أصعد يسوع الى البرية من الروح ليجرب من ابليس.
Mat 4:2,فبعدما صام اربعين نهارا واربعين ليلة جاع اخيرا.
Mat 4:3,فتقدم اليه المجرب وقال له ان كنت ابن الله فقل ان تصير هذه الحجارة خبزا.
Mat 4:4,فاجاب وقال مكتوب ليس بالخبز وحده يحيا الانسان بل بكل كلمة تخرج من فم الله.
Mat 4:5,ثم اخذه ابليس الى المدينة المقدسة واوقفه على جناح الهيكل.
Mat 4:6,وقال له ان كنت ابن الله فاطرح نفسك الى اسفل. لانه مكتوب انه يوصي ملائكته بك. فعلى اياديهم يحملونك لكي لا تصدم بحجر رجلك.
Mat 4:7,قال له يسوع مكتوب ايضا لا تجرب الرب الهك.
Mat 4:8,ثم اخذه ايضا ابليس الى جبل عال جدا واراه جميع ممالك العالم ومجدها.
Mat 4:9,وقال له اعطيك هذه جميعها ان خررت وسجدت لي.
Mat 4:10,حينئذ قال له يسوع اذهب يا شيطان. لانه مكتوب للرب الهك تسجد واياه وحده تعبد.
Mat 4:11,ثم تركه ابليس واذا ملائكة قد جاءت فصارت تخدمه
Mat 4:12,ولما سمع يسوع ان يوحنا اسلم انصرف الى الجليل.
Mat 4:13,وترك الناصرة واتى فسكن في كفرناحوم التي عند البحر في تخوم زبولون ونفتاليم.
Mat 4:14,لكي يتم ما قيل باشعياء النبي القائل.
Mat 4:15,ارض زبولون وارض نفتاليم طريق البحر عبر الاردن جليل الامم.
Mat 4:16,الشعب الجالس في ظلمة ابصر نورا عظيما. والجالسون في كورة الموت وظلاله اشرق عليهم نور.
Mat 4:17,من ذلك الزمان ابتدأ يسوع يكرز ويقول توبوا لانه قد اقترب ملكوت السموات
Mat 4:18,واذ كان يسوع ماشيا عند بحر الجليل ابصر اخوين سمعان الذي يقال له بطرس واندراوس اخاه يلقيان شبكة في البحر فانهما كانا صيادين.
Mat 4:19,فقال لهما هلم ورائي فاجعلكما صيادي الناس.
Mat 4:20,فللوقت تركا الشباك وتبعاه.
Mat 4:21,ثم اجتاز من هناك فرأى اخوين آخرين يعقوب بن زبدي ويوحنا اخاه في السفينة مع زبدي ابيهما يصلحان شباكهما فدعاهما.
Mat 4:22,فللوقت تركا السفينة واباهما وتبعاه
Mat 4:23,وكان يسوع يطوف كل الجليل يعلم في مجامعهم ويكرز ببشارة الملكوت ويشفي كل مرض وكل ضعف في الشعب.
Mat 4:24,فذاع خبره في جميع سورية. فاحضروا اليه جميع السقماء المصابين بامراض واوجاع مختلفة والمجانين والمصروعين والمفلوجين فشفاهم.
Mat 4:25,فتبعته جموع كثيرة من الجليل والعشر المدن واورشليم واليهودية ومن عبر الاردن
Mat 5:1,ولما رأى الجموع صعد الى الجبل. فلما جلس تقدم اليه تلاميذه.
Mat 5:2,ففتح فاه وعلمهم قائلا.
Mat 5:3,طوبى للمساكين بالروح. لان لهم ملكوت السموات.
Mat 5:4,طوبى للحزانى. لانهم يتعزون.
Mat 5:5,طوبى للودعاء. لانهم يرثون الارض.
Mat 5:6,طوبى للجياع والعطاش الى البر. لانهم يشبعون.
Mat 5:7,طوبى للرحماء. لانهم يرحمون.
Mat 5:8,طوبى للانقياء القلب. لانهم يعاينون الله.
Mat 5:9,طوبى لصانعي السلام. لانهم ابناء الله يدعون.
Mat 5:10,طوبى للمطرودين من اجل البر. لان لهم ملكوت السموات.
Mat 5:11,طوبى لكم اذا عيّروكم وطردوكم وقالوا عليكم كل كلمة شريرة من اجلي كاذبين.
Mat 5:12,افرحوا وتهللوا. لان اجركم عظيم في السموات. فانهم هكذا طردوا الانبياء الذين قبلكم
Mat 5:13,انتم ملح الارض. ولكن ان فسد الملح فبماذا يملح. لا يصلح بعد لشيء الا لان يطرح خارجا ويداس من الناس.
Mat 5:14,انتم نور العالم. لا يمكن ان تخفى مدينة موضوعة على جبل.
Mat 5:15,ولا يوقدون سراجا ويضعونه تحت المكيال بل على المنارة فيضيء لجميع الذين في البيت.
Mat 5:16,فليضئ نوركم هكذا قدام الناس لكي يروا اعمالكم الحسنة ويمجدوا اباكم الذي في السموات
Mat 5:17,لا تظنوا اني جئت لانقض الناموس او الانبياء. ما جئت لانقض بل لاكمّل.
Mat 5:18,فاني الحق اقول لكم الى ان تزول السماء والارض لا يزول حرف واحد او نقطة واحدة من الناموس حتى يكون الكل.
Mat 5:19,فمن نقض احدى هذه الوصايا الصغرى وعلم الناس هكذا يدعى اصغر في ملكوت السموات. واما من عمل وعلّم فهذا يدعى عظيما في ملكوت السموات.
Mat 5:20,فاني اقول لكم انكم ان لم يزد بركم على الكتبة والفريسيين لن تدخلوا ملكوت السموات
Mat 5:21,قد سمعتم انه قيل للقدماء لا تقتل. ومن قتل يكون مستوجب الحكم.
Mat 5:22,واما انا فاقول لكم ان كل من يغضب على اخيه باطلا يكون مستوجب الحكم. ومن قال لاخيه رقا يكون مستوجب المجمع. ومن قال يا احمق يكون مستوجب نار جهنم.
Mat 5:23,فان قدمت قربانك الى المذبح وهناك تذكرت ان لاخيك شيئا عليك
Mat 5:24,فاترك هناك قربانك قدام المذبح واذهب اولا اصطلح مع اخيك. وحينئذ تعال وقدم قربانك.
Mat 5:25,كن مراضيا لخصمك سريعا ما دمت معه في الطريق. لئلا يسلمك الخصم الى القاضي ويسلمك القاضي الى الشرطي فتلقى في السجن.
Mat 5:26,الحق اقول لك لا تخرج من هناك حتى توفي الفلس الاخير
Mat 5:27,قد سمعتم انه قيل للقدماء لا تزن.
Mat 5:28,واما انا فاقول لكم ان كل من ينظر الى امرأة ليشتهيها فقد زنى بها في قلبه.
Mat 5:29,فان كانت عينك اليمنى تعثرك فاقلعها وألقها عنك. لانه خير لك ان يهلك احد اعضائك ولا يلقى جسدك كله في جهنم.
Mat 5:30,وان كانت يدك اليمنى تعثرك فاقطعها والقها عنك. لانه خير لك ان يهلك احد اعضائك ولا يلقى جسدك كله في جهنم
Mat 5:31,وقيل من طلق امرأته فليعطها كتاب طلاق.
Mat 5:32,واما انا فاقول لكم ان من طلّق امرأته الا لعلّة الزنى يجعلها تزني. ومن يتزوج مطلّقة فانه يزني
Mat 5:33,ايضا سمعتم انه قيل للقدماء لا تحنث بل أوف للرب اقسامك.
Mat 5:34,واما انا فاقول لكم لا تحلفوا البتة. لا بالسماء لانها كرسي الله.
Mat 5:35,ولا بالارض لانها موطئ قدميه. ولا باورشليم لانها مدينة الملك العظيم.
Mat 5:36,ولا تحلف براسك لانك لا تقدر ان تجعل شعرة واحدة بيضاء او سوداء.
Mat 5:37,بل ليكن كلامكم نعم نعم لا لا. وما زاد على ذلك فهو من الشرير
Mat 5:38,سمعتم انه قيل عين بعين وسن بسن.
Mat 5:39,واما انا فاقول لكم لا تقاوموا الشر. بل من لطمك على خدك الايمن فحوّل له الآخر ايضا.
Mat 5:40,ومن اراد ان يخاصمك وياخذ ثوبك فاترك له الرداء ايضا.
Mat 5:41,ومن سخرك ميلا واحدا فاذهب معه اثنين.
Mat 5:42,من سألك فاعطه. ومن اراد ان يقترض منك فلا ترده
Mat 5:43,سمعتم انه قيل تحب قريبك وتبغض عدوك.
Mat 5:44,واما انا فاقول لكم احبوا اعداءكم. باركوا لاعنيكم. احسنوا الى مبغضيكم. وصلّوا لاجل الذين يسيئون اليكم ويطردونكم.
Mat 5:45,لكي تكونوا ابناء ابيكم الذي في السموات. فانه يشرق شمسه على الاشرار والصالحين ويمطر على الابرار والظالمين.
Mat 5:46,لانه ان احببتم الذين يحبونكم فاي اجر لكم. اليس العشارون ايضا يفعلون ذلك.
Mat 5:47,وان سلمتم على اخوتكم فقط فاي فضل تصنعون. أليس العشارون ايضا يفعلون هكذا.
Mat 5:48,فكونوا انتم كاملين كما ان اباكم الذي في السموات هو كامل
Mat 6:1,احترزوا من ان تصنعوا صدقتكم قدام الناس لكي ينظروكم. والا فليس لكم اجر عند ابيكم الذي في السموات.
Mat 6:2,فمتى صنعت صدقة فلا تصوت قدامك بالبوق كما يفعل المراؤون في المجامع وفي الازقة لكي يمجّدوا من الناس. الحق اقول لكم انهم قد استوفوا اجرهم.
Mat 6:3,واما انت فمتى صنعت صدقة فلا تعرف شمالك ما تفعل يمينك.
Mat 6:4,لكي تكون صدقتك في الخفاء. فابوك الذي يرى في الخفاء هو يجازيك علانية
Mat 6:5,ومتى صلّيت فلا تكن كالمرائين. فانهم يحبون ان يصلّوا قائمين في المجامع وفي زوايا الشوارع لكي يظهروا للناس. الحق اقول لكم انهم قد استوفوا اجرهم.
Mat 6:6,واما انت فمتى صلّيت فادخل الى مخدعك واغلق بابك وصلّ الى ابيك الذي في الخفاء. فابوك الذي يرى في الخفاء يجازيك علانية.
Mat 6:7,وحينما تصلّون لا تكرروا الكلام باطلا كالامم. فانهم يظنون انه بكثرة كلامهم يستجاب لهم.
Mat 6:8,فلا تتشبهوا بهم. لان اباكم يعلم ما تحتاجون اليه قبل ان تسألوه
Mat 6:9,فصلّوا انتم هكذا. ابانا الذي في السموات. ليتقدس اسمك.
Mat 6:10,ليأت ملكوتك. لتكن مشيئتك كما في السماء كذلك على الارض.
Mat 6:11,خبزنا كفافنا اعطنا اليوم.
Mat 6:12,واغفر لنا ذنوبنا كما نغفر نحن ايضا للمذنبين الينا.
Mat 6:13,ولا تدخلنا في تجربة. لكن نجنا من الشرير. لان لك الملك والقوة والمجد الى الابد. آمين.
Mat 6:14,فانه ان غفرتم للناس زلاتهم يغفر لكم ايضا ابوكم السماوي.
Mat 6:15,وان لم تغفروا للناس زلاتهم لا يغفر لكم ابوكم ايضا زلاتكم
Mat 6:16,ومتى صمتم فلا تكونوا عابسين كالمرائين. فانهم يغيرون وجوههم لكي يظهروا للناس صائمين. الحق اقول لكم انهم قد استوفوا اجرهم.
Mat 6:17,واما انت فمتى صمت فادهن راسك واغسل وجهك.
Mat 6:18,لكي لا تظهر للناس صائما بل لابيك الذي في الخفاء. فابوك الذي يرى في الخفاء يجازيك علانية
Mat 6:19,لا تكنزوا لكم كنوزا على الارض حيث يفسد السوس والصدأ وحيث ينقب السارقون ويسرقون.
Mat 6:20,بل اكنزوا لكم كنوزا في السماء حيث لا يفسد سوس ولا صدأ وحيث لا ينقب سارقون ولا يسرقون.
Mat 6:21,لانه حيث يكون كنزك هناك يكون قلبك ايضا.
Mat 6:22,سراج الجسد هو العين. فان كانت عينك بسيطة فجسدك كله يكون نيرا.
Mat 6:23,وان كانت عينك شريرة فجسدك كله يكون مظلما. فان كان النور الذي فيك ظلاما فالظلام كم يكون
Mat 6:24,لا يقدر احد ان يخدم سيدين. لانه اما ان يبغض الواحد ويحب الآخر او يلازم الواحد ويحتقر الآخر. لا تقدرون ان تخدموا الله والمال.
Mat 6:25,لذلك اقول لكم لا تهتموا لحياتكم بما تاكلون وبما تشربون. ولا لاجسادكم بما تلبسون. أليست الحياة افضل من الطعام والجسد افضل من اللباس.
Mat 6:26,انظروا الى طيور السماء. انها لا تزرع ولا تحصد ولا تجمع الى مخازن. وابوكم السماوي يقوتها. ألستم انتم بالحري افضل منها.
Mat 6:27,ومن منكم اذا اهتم يقدر ان يزيد على قامته ذراعا واحدة.
Mat 6:28,ولماذا تهتمون باللباس. تأملوا زنابق الحقل كيف تنمو. لا تتعب ولا تغزل.
Mat 6:29,ولكن اقول لكم انه ولا سليمان في كل مجده كان يلبس كواحدة منها.
Mat 6:30,فان كان عشب الحقل الذي يوجد اليوم ويطرح غدا في التنور يلبسه الله هكذا أفليس بالحري جدا يلبسكم انتم يا قليلي الايمان.
Mat 6:31,فلا تهتموا قائلين ماذا نأكل او ماذا نشرب او ماذا نلبس.
Mat 6:32,فان هذه كلها تطلبها الامم. لان اباكم السماوي يعلم انكم تحتاجون الى هذه كلها.
Mat 6:33,لكن اطلبوا اولا ملكوت الله وبره وهذه كلها تزاد لكم.
Mat 6:34,فلا تهتموا للغد. لان الغد يهتم بما لنفسه. يكفي اليوم شره
Mat 7:1,لا تدينوا لكي لا تدانوا.
Mat 7:2,لانكم بالدينونة التي بها تدينون تدانون. وبالكيل الذي به تكيلون يكال لكم.
Mat 7:3,ولماذا تنظر القذى الذي في عين اخيك. واما الخشبة التي في عينك فلا تفطن لها.
Mat 7:4,ام كيف تقول لأخيك دعني اخرج القذى من عينك وها الخشبة في عينك.
Mat 7:5,يا مرائي اخرج اولا الخشبة من عينك. وحينئذ تبصر جيدا ان تخرج القذى من عين اخيك.
Mat 7:6,لا تعطوا القدس للكلاب. ولا تطرحوا درركم قدام الخنازير. لئلا تدوسها بارجلها وتلتفت فتمزقكم
Mat 7:7,اسألوا تعطوا. اطلبوا تجدوا. اقرعوا يفتح لكم.
Mat 7:8,لان كل من يسأل يأخذ. ومن يطلب يجد. ومن يقرع يفتح له.
Mat 7:9,ام اي انسان منكم اذا سأله ابنه خبزا يعطيه حجرا.
Mat 7:10,وان سأله سمكة يعطيه حية.
Mat 7:11,فان كنتم وانتم اشرار تعرفون ان تعطوا اولادكم عطايا جيدة فكم بالحري ابوكم الذي في السموات يهب خيرات للذين يسألونه.
Mat 7:12,فكل ما تريدون ان يفعل الناس بكم افعلوا هكذا انتم ايضا بهم. لان هذا هو الناموس والانبياء
Mat 7:13,ادخلوا من الباب الضيق. لانه واسع الباب ورحب الطريق الذي يؤدي الى الهلاك. وكثيرون هم الذين يدخلون منه.
Mat 7:14,ما اضيق الباب وأكرب الطريق الذي يؤدي الى الحياة. وقليلون هم الذين يجدونه
Mat 7:15,احترزوا من الانبياء الكذبة الذين يأتونكم بثياب الحملان ولكنهم من داخل ذئاب خاطفة.
Mat 7:16,من ثمارهم تعرفونهم. هل يجتنون من الشوك عنبا او من الحسك تينا.
Mat 7:17,هكذا كل شجرة جيدة تصنع اثمارا جيدة. واما الشجرة الردية فتصنع اثمارا رديّة.
Mat 7:18,لا تقدر شجرة جيدة ان تصنع اثمارا رديّة ولا شجرة رديّة ان تصنع اثمارا جيدة.
Mat 7:19,كل شجرة لا تصنع ثمرا جيدا تقطع وتلقى في النار.
Mat 7:20,فاذا من ثمارهم تعرفونهم
Mat 7:21,ليس كل من يقول لي يا رب يا رب يدخل ملكوت السموات. بل الذي يفعل ارادة ابي الذي في السموات.
Mat 7:22,كثيرون سيقولون لي في ذلك اليوم يا رب يا رب أليس باسمك تنبأنا وباسمك اخرجنا شياطين وباسمك صنعنا قوات كثيرة.
Mat 7:23,فحينئذ أصرّح لهم اني لم اعرفكم قط. اذهبوا عني يا فاعلي الاثم
Mat 7:24,فكل من يسمع اقوالي هذه ويعمل بها اشبهه برجل عاقل بنى بيته على الصخر.
Mat 7:25,فنزل المطر وجاءت الانهار وهبت الرياح ووقعت على ذلك البيت فلم يسقط. لانه كان مؤسسا على الصخر.
Mat 7:26,وكل من يسمع اقوالي هذه ولا يعمل بها يشبّه برجل جاهل بنى بيته على الرمل.
Mat 7:27,فنزل المطر وجاءت الانهار وهبت الرياح وصدمت ذلك البيت فسقط. وكان سقوطه عظيما
Mat 7:28,فلما اكمل يسوع هذه الاقوال بهتت الجموع من تعليمه.
Mat 7:29,لانه كان يعلّمهم كمن له سلطان وليس كالكتبة
Mat 8:1,ولما نزل من الجبل تبعته جموع كثيرة.
Mat 8:2,واذا ابرص قد جاء وسجد له قائلا يا سيد ان اردت تقدر ان تطهرني.
Mat 8:3,فمدّ يسوع يده ولمسه قائلا أريد فاطهر. وللوقت طهر برصه.
Mat 8:4,فقال له يسوع انظر ان لا تقول لأحد. بل اذهب أر نفسك للكاهن وقدم القربان الذي امر به موسى شهادة لهم
Mat 8:5,ولما دخل يسوع كفرناحوم جاء اليه قائد مئة يطلب اليه
Mat 8:6,ويقول يا سيد غلامي مطروح في البيت مفلوجا متعذبا جدا.
Mat 8:7,فقال له يسوع انا آتي واشفيه.
Mat 8:8,فاجاب قائد المئة وقال يا سيد لست مستحقا ان تدخل تحت سقفي. لكن قل كلمة فقط فيبرأ غلامي.
Mat 8:9,لاني انا ايضا انسان تحت سلطان. لي جند تحت يدي. اقول لهذا اذهب فيذهب ولآخر ائت فياتي ولعبدي افعل هذا فيفعل.
Mat 8:10,فلما سمع يسوع تعجب وقال للذين يتبعون. الحق اقول لكم لم اجد ولا في اسرائيل ايمانا بمقدار هذا.
Mat 8:11,واقول لكم ان كثيرين سيأتون من المشارق والمغارب ويتكئون مع ابراهيم واسحق ويعقوب في ملكوت السموات.
Mat 8:12,واما بنو الملكوت فيطرحون الى الظلمة الخارجية. هناك يكون البكاء وصرير الاسنان.
Mat 8:13,ثم قال يسوع لقائد المئة اذهب وكما آمنت ليكن لك. فبرأ غلامه في تلك الساعة
Mat 8:14,ولما جاء يسوع الى بيت بطرس رأى حماته مطروحة ومحمومة.
Mat 8:15,فلمس يدها فتركتها الحمى. فقامت وخدمتهم.
Mat 8:16,ولما صار المساء قدموا اليه مجانين كثيرين. فأخرج الارواح بكلمة وجميع المرضى شفاهم.
Mat 8:17,لكي يتم ما قيل باشعياء النبي القائل هو اخذ اسقامنا وحمل امراضنا
Mat 8:18,ولما رأى يسوع جموعا كثيرة حوله امر بالذهاب الى العبر.
Mat 8:19,فتقدم كاتب وقال له يا معلّم اتبعك اينما تمضي.
Mat 8:20,فقال له يسوع للثعالب اوجرة ولطيور السماء اوكار. واما ابن الانسان فليس له اين يسند راسه.
Mat 8:21,وقال له آخر من تلاميذه يا سيد ائذن لي ان امضي اولا وادفن ابي.
Mat 8:22,فقال له يسوع اتبعني ودع الموتى يدفنون موتاهم
Mat 8:23,ولما دخل السفينة تبعه تلاميذه.
Mat 8:24,واذ اضطراب عظيم قد حدث في البحر حتى غطت الامواج السفينة. وكان هو نائما.
Mat 8:25,فتقدم تلاميذه وايقظوه قائلين يا سيد نجنا فاننا نهلك.
Mat 8:26,فقال لهم ما بالكم خائفين يا قليلي الايمان. ثم قام وانتهر الرياح والبحر فصار هدوء عظيم.
Mat 8:27,فتعجب الناس قائلين اي انسان هذا. فان الرياح والبحر جميعا تطيعه
Mat 8:28,ولما جاء الى العبر الى كورة الجرجسيين استقبله مجنونان خارجان من القبور هائجان جدا حتى لم يكن احد يقدر ان يجتاز من تلك الطريق.
Mat 8:29,واذا هما قد صرخا قائلين ما لنا ولك يا يسوع ابن الله. أجئت الى هنا قبل الوقت لتعذبنا.
Mat 8:30,وكان بعيدا منهم قطيع خنازير كثيرة ترعى.
Mat 8:31,فالشياطين طلبوا اليه قائلين ان كنت تخرجنا فاذن لنا ان نذهب الى قطيع الخنازير.
Mat 8:32,فقال لهم امضوا. فخرجوا ومضوا الى قطيع الخنازير. واذا قطيع الخنازير كله قد اندفع من على الجرف الى البحر ومات في المياه.
Mat 8:33,اما الرعاة فهربوا ومضوا الى المدينة واخبروا عن كل شيء وعن أمر المجنونين.
Mat 8:34,فاذا كل المدينة قد خرجت لملاقاة يسوع. ولما ابصروه طلبوا ان ينصرف عن تخومهم
Mat 9:1,فدخل السفينة واجتاز وجاء الى مدينته.
Mat 9:2,واذا مفلوج يقدمونه اليه مطروحا على فراش. فلما رأى يسوع ايمانهم قال للمفلوج ثق يا بني. مغفورة لك خطاياك.
Mat 9:3,واذا قوم من الكتبة قد قالوا في انفسهم هذا يجدّف.
Mat 9:4,فعلم يسوع افكارهم فقال لماذا تفكرون بالشر في قلوبكم.
Mat 9:5,ايما ايسر ان يقال مغفورة لك خطاياك. ام ان يقال قم وامش.
Mat 9:6,ولكن لكي تعلموا ان لابن الانسان سلطانا على الارض ان يغفر الخطايا. حينئذ قال للمفلوج. قم احمل فراشك واذهب الى بيتك.
Mat 9:7,فقام ومضى الى بيته.
Mat 9:8,فلما رأى الجموع تعجبوا ومجدوا الله الذي اعطى الناس سلطانا مثل هذا
Mat 9:9,وفيما يسوع مجتاز من هناك رأى انسانا جالسا عند مكان الجباية اسمه متى. فقال له اتبعني. فقام وتبعه.
Mat 9:10,وبينما هو متكئ في البيت اذا عشارون وخطاة كثيرون قد جاءوا واتكأوا مع يسوع وتلاميذه.
Mat 9:11,فلما نظر الفريسيون قالوا لتلاميذه لماذا ياكل معلمكم مع العشارين والخطاة.
Mat 9:12,فلما سمع يسوع قال لهم لا يحتاج الاصحاء الى طبيب بل المرضى.
